date,twilight_window,n_candidates,n_planned,sum_time_s,window_cap_s
2024-01-01,morning,6,6,70.9,600
2024-01-01,evening,3,3,30.9,600
2024-01-01,W2,1,0,0.0,0
2024-01-02,morning,3,3,33.3,600
2024-01-02,evening,4,4,42.4,600
2024-01-02,W2,3,0,0.0,0
2024-01-03,morning,3,3,37.3,600
2024-01-03,evening,4,4,42.4,600
2024-01-03,W2,3,0,0.0,0
