objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
113815,SN,2022rjg,26.341250000000002,-22.32575,0.041085,,SN Ia,,"ATLAS, GaiaAlerts, Pan-STARRS",,"ATLAS, GaiaAlerts, Pan-STARRS",2022/8/17 1:54,17.752,orange-ATLAS,orange-ATLAS,,,ATLAS22zxc,None,None,,
113818,SN,2022rjj,10.120158333333332,-9.625733333,0.061,,SN Ia,,"ALeRCE, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/12 10:57,19.5018,g-ZTF,g-ZTF,,,ZTF22abaxtfy,None,None,,
113820,SN,2022rjl,28.094020833333335,-9.295013889,0.111,,SN Ia,,"ALeRCE, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/15 10:02,19.8487,r-ZTF,r-ZTF,,,ZTF22abaxmks,None,None,,
113826,SN,2022rjr,283.094475,85.19045555555556,0.061,,SN Ia,,"ALeRCE, ATLAS, Fink",,"ZTF, ATLAS",2022/8/17 5:56,19.5716,g-ZTF,g-ZTF,,,ZTF22abatsqa,None,None,,
113827,SN,2022rjs,244.12541666666664,21.251469444444446,0.037,,SN Ia-91bg-like,,"ALeRCE, YSE, Pan-STARRS, ATLAS, GaiaAlerts",,"ZTF, Pan-STARRS, ATLAS, GaiaAlerts",2022/8/17 5:47,19.1805,g-ZTF,g-ZTF,,,ZTF22abatqod,None,None,,
113831,SN,2022rjw,335.21260833333326,-16.56713056,0.06248,,SN Ia,,"ATLAS, Pan-STARRS",,"ATLAS, Pan-STARRS",2022/8/17 10:23,18.254,orange-ATLAS,orange-ATLAS,,,ATLAS22zxm,None,None,,
113832,SN,2022rjx,4.794549999999999,29.3323,0.08,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/8/17 7:46,19.43,g-ZTF,g-ZTF,,,ZTF22abavsqq,None,None,,
113837,SN,2022rkc,30.555062500000002,31.695216666666667,0.07,,SN Ia,,"ZTF, ATLAS, Fink, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/15 10:20,19.79,r-ZTF,r-ZTF,,,ZTF22abamnmb,None,None,,
113838,SN,2022rkd,239.09956666666668,12.132316666666668,0.076,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/8/15 4:24,19.84,g-ZTF,g-ZTF,,,ZTF22abakeha,None,None,,
113840,SN,2022rkf,340.2615583333333,23.64581111111111,0.089,,SN Ia,,"ZTF, YSE",,"ZTF, Pan-STARRS",2022/8/14 10:12,19.55,g-ZTF,g-ZTF,,,ZTF22abaiyyz,None,None,,
113848,SN,2022rkn,12.135195833333334,-7.025119444,0.09,,SN Ia,,"ATLAS, ZTF, Pan-STARRS",,"ATLAS, ZTF, Pan-STARRS",2022/8/17 12:49,19.006,orange-ATLAS,orange-ATLAS,,,ATLAS22baac,None,None,,
113852,SN,2022rkr,297.3053125,-31.03570833,0.08,,SN Ia,,"ATLAS, BlackGEM",,"ATLAS, BlackGEM",2022/8/16 20:42,18.778,orange-ATLAS,orange-ATLAS,,,ATLAS22baah,None,None,,
113859,SN,2022rky,318.6212291666667,-9.047577778,0.029774,,SN Ia,,"ZTF, Pan-STARRS, Fink",,"ZTF, Pan-STARRS",2022/8/18 7:22,18.34,r-ZTF,r-ZTF,,,ZTF22abbausm,None,None,,
113861,SN,2022rla,182.09791666666666,62.93833055555555,0.040435,,SN Ia,,"ATLAS, GaiaAlerts",,"ATLAS, GaiaAlerts",2022/8/18 5:48,17.833,orange-ATLAS,orange-ATLAS,,,ATLAS22baan,None,None,,
113864,SN,2022rld,351.50319583333334,-9.085358333,0.089,,SN Ia,,"ALeRCE, ATLAS, Pan-STARRS, Fink",,"ZTF, ATLAS, Pan-STARRS",2022/8/18 7:17,19.5685,r-ZTF,r-ZTF,,,ZTF22abbaqil,None,None,,
113872,SN,2022rll,257.2836708333333,62.72119166666667,0.08,,SN Ia,,"ALeRCE, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/18 6:57,19.7574,r-ZTF,r-ZTF,,,ZTF22abatsyj,None,None,,
113876,SN,2022rlp,241.25295416666663,27.258294444444445,0.04566,,SN Ia,,"ALeRCE, YSE",,"ZTF, Pan-STARRS",2022/8/16 4:40,19.4166,g-ZTF,g-ZTF,,,ZTF22abanxam,None,None,,
113877,SN,2022rlq,270.8963708333333,41.626375,0.07,,SN Ia,,"ALeRCE, ATLAS",,"ZTF, ATLAS",2022/8/16 4:55,19.7071,g-ZTF,g-ZTF,,,ZTF22abakwxh,None,None,,
113880,SN,2022rlt,199.75839583333334,-23.96854444,0.07,,SN Ia,,ATLAS,,ATLAS,2022/8/15 0:22,18.936,orange-ATLAS,orange-ATLAS,,,ATLAS22baax,None,None,,
113897,SN,2022rmj,257.3386833333333,4.171200000000001,0.049,,SN Ia,,"ZTF, Fink, ATLAS",,"ZTF, ATLAS",2022/8/15 4:10,20.43,g-ZTF,g-ZTF,,,ZTF22abakcfy,None,None,,
113903,SN,2022rmp,111.79350000000001,33.83513055555556,0.026,,SN Ia,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS",,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS",2022/8/18 12:07,19.63,r-ZTF,r-ZTF,,,ZTF22abbkhja,None,None,,
113904,SN,2022rmq,7.2406041666666665,12.316472222222224,0.088,,SN Ia,,"ZTF, ATLAS, Fink, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/17 10:24,19.61,r-ZTF,r-ZTF,,,ZTF22abaxqlk,None,None,,
113920,SN,2022rng,358.642425,-25.09451667,0.09,,SN Ia,,"ZTF, ATLAS, YSE, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/17 9:02,19.5,r-ZTF,r-ZTF,,,ZTF22abawyul,None,None,,
113927,SN,2022rnn,5.7683125,21.234058333333333,0.089,,SN Ia,,"ALeRCE, ATLAS, YSE, Fink, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/19 9:11,19.8928,g-ZTF,g-ZTF,,,ZTF22abbirsn,None,None,,
113933,SN,2022rnt,284.14683333333335,-64.92871944,0.014,,SN Ia,,"MASTER, ATLAS, GaiaAlerts",,"MASTER, ATLAS, GaiaAlerts",2022/8/20 2:49,16.2,Clear-,Clear-,,,MASTER OT J185634.89-645541.6,None,None,,
113934,SN,2022rnu,25.181124999999998,-14.47881111,0.063,,SN Ia,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts",,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts",2022/8/17 11:29,19.17,g-ZTF,g-ZTF,,,ZTF22abayewb,None,None,,
113936,SN,2022rnw,281.51735833333333,64.16587777777778,0.078,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/8/18 6:20,20.28,r-ZTF,r-ZTF,,,ZTF22abblogu,None,None,,
113939,SN,2022rnz,282.1369916666667,36.03975277777778,0.07,,SN Ia,,"ZTF, ATLAS, Fink",,"ZTF, ATLAS",2022/8/18 6:11,20.35,r-ZTF,r-ZTF,,,ZTF22abbmgdo,None,None,,
113964,SN,2022roy,277.6779625,59.35670833333334,0.082,,SN Ia,,"ALeRCE, ATLAS, Fink, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/20 7:46,19.9627,r-ZTF,r-ZTF,,,ZTF22abbmemk,None,None,,
113977,SN,2022rpl,0.4714541666666667,-36.85031944,0.0504,,SN Ia,,ATLAS,,ATLAS,2022/8/18 7:46,18.25,orange-ATLAS,orange-ATLAS,,,ATLAS22baic,None,None,,
113988,SN,2022rpw,0.46447916666666667,-29.56605833,0.06,,SN Ia,,ATLAS,,ATLAS,2022/8/18 7:46,18.852,orange-ATLAS,orange-ATLAS,,,ATLAS22balw,None,None,,
113994,SN,2022rqc,114.19902916666666,55.321650000000005,0.03,,SN Ia,,"ZTF, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/20 11:41,18.39,r-ZTF,r-ZTF,,,ZTF22abbozja,None,None,,
114009,SN,2022rqq,3.939525,-0.652661111,0.07,,SN Ia,,"Pan-STARRS, ATLAS",,"Pan-STARRS, ATLAS",2022/8/20 12:21,18.43,w-P1,w-P1,,,PS22hdg,None,None,,
114046,SN,2022rsb,332.62822083333333,0.035769444444444444,0.096,,SN Ia,,"ALeRCE, ATLAS, YSE, Fink, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/21 7:03,19.9848,g-ZTF,g-ZTF,,,ZTF22abbtmdv,None,None,,
114055,SN,2022rsk,231.94054166666666,25.886588888888888,0.076,,SN Ia,,"ALeRCE, ATLAS, GaiaAlerts",,"ZTF, ATLAS, GaiaAlerts",2022/8/21 4:19,19.8476,r-ZTF,r-ZTF,,,ZTF22abbpvzk,None,None,,
114059,SN,2022rso,351.89935,16.655133333333332,0.050768,,SN Ia,,ALeRCE,,ZTF,2022/8/21 7:26,19.6456,g-ZTF,g-ZTF,,,ZTF22abbbwtl,None,None,,
114079,SN,2022rth,22.8777,0.6652222222222223,0.161344,,SN Ia,,Pan-STARRS,,Pan-STARRS,2022/8/21 13:47,20.07,w-P1,w-P1,,,PS22hed,None,None,,
114080,SN,2022rti,324.2400416666667,15.065422222222223,0.11,,SN Ia,,"Pan-STARRS, ALeRCE, ATLAS",,"Pan-STARRS, ZTF, ATLAS",2022/8/21 7:31,20,w-P1,w-P1,,,PS22hee,None,None,,
114106,SN,2022ruh,44.34240416666667,10.325144444444444,0.03,,SN Ia,,"ATLAS, ZTF, Pan-STARRS",,"ATLAS, ZTF, Pan-STARRS",2022/8/21 14:26,18.847,orange-ATLAS,orange-ATLAS,,,ATLAS22baps,None,None,,
114109,SN,2022ruk,45.451875,36.21555,0.04,,SN Ia,,"ATLAS, GaiaAlerts",,"ATLAS, GaiaAlerts",2022/8/21 13:43,18.988,orange-ATLAS,orange-ATLAS,,,ATLAS22baqc,None,None,,
114118,SN,2022rut,15.286874999999998,0.03876944444444445,0.062,,SN Ia,,"GaiaAlerts, ZTF, ATLAS",,"GaiaAlerts, ZTF, ATLAS",2022/8/20 10:48,18.93,G-Gaia,G-Gaia,,,Gaia22dmf,None,None,,
114124,SN,2022ruz,8.916370833333335,28.556655555555555,0.075,,SN Ia,,"ZTF, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/19 10:22,20.49,r-ZTF,r-ZTF,,,ZTF22abbkxor,None,None,,
114126,SN,2022rvb,290.8097166666667,41.93626111111111,0.065,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/8/20 7:49,19.84,r-ZTF,r-ZTF,,,ZTF22abbmgne,None,None,,
114150,SN,2022rvy,4.397466666666666,-11.28623889,0.099,,SN Ia,,"ALeRCE, ATLAS",,"ZTF, ATLAS",2022/8/19 9:55,20.2165,g-ZTF,g-ZTF,,,ZTF22abcckha,None,None,,
114151,SN,2022rvz,286.7188875,34.60975277777778,0.079,,SN Ia,,"ALeRCE, ATLAS, Fink",,"ZTF, ATLAS",2022/8/22 6:54,19.953,g-ZTF,g-ZTF,,,ZTF22abcbses,None,None,,
114169,SN,2022rwq,359.1300166666667,-37.56653333,0.071,,SN Ia,,ATLAS,,ATLAS,2022/8/18 7:46,19.241,orange-ATLAS,orange-ATLAS,,,ATLAS22bavc,None,None,,
114190,SN,2022rxl,77.02062083333334,5.906586111111111,0.077,,SN Ia,,"ATLAS, ZTF, Pan-STARRS",,"ATLAS, ZTF, Pan-STARRS",2022/8/20 9:30,18.423,orange-ATLAS,orange-ATLAS,,,ATLAS22baxl,None,None,,
114203,SN,2022rxy,68.9188625,-20.96167778,0.069,,SN Ia,,"ATLAS, Pan-STARRS, ALeRCE",,"ATLAS, Pan-STARRS, ZTF",2022/8/19 8:46,18.73,orange-ATLAS,orange-ATLAS,,,ATLAS22baya,None,None,,
114219,SN,2022ryo,51.9273625,-12.678425,0.071,,SN Ia,,"ZTF, ATLAS, Fink, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/8/23 10:48,19.73,g-ZTF,g-ZTF,,,ZTF22abcknjm,None,None,,
