date,twilight_window,n_candidates,n_planned,unique_targets_observed,repeat_fraction,sum_time_s,dp_time_s,backfill_time_s,window_cap_s,swap_count,internal_filter_changes,filter_change_s_total,inter_exposure_guard_s,inter_exposure_guard_count,mean_slew_s,median_airmass,loaded_filters,filters_used_csv,window_start_utc,window_end_utc,window_duration_s,window_mid_utc,sun_alt_mid_deg,policy_filters_mid_csv,window_utilization,cap_utilization,cap_source,median_sky_mag_arcsec2,median_alt_deg,cad_median_abs_err_by_filter_csv,cad_within_pct_by_filter_csv,cad_median_abs_err_all_d,cad_within_pct_all,quota_assigned,n_candidates_pre_cap,n_candidates_post_cap
2023-01-07,morning,75,47,47,0.0,922.4,821.3,101.1,960,0,0,0.0,368.7,45,6.860460318860725,1.2316034114112266,"g,r,i,z",z,2023-01-08T08:50:00+00:00,2023-01-08T09:06:00+00:00,960,2023-01-08T08:58:00+00:00,-10.55,"r,i,g,z",0.9608,0.9608,window_duration,16.630451630703647,54.23,z:0.0,z:100.0,0.002,100.0,499,75,75
2023-01-08,evening,86,43,42,0.023,957.0,830.0,127.0,960,1,0,120.0,343.1,40,6.4246849487850275,1.178606758183174,"g,r,i,z","i,z",2023-01-09T00:33:00+00:00,2023-01-09T00:49:00+00:00,960,2023-01-09T00:41:00+00:00,-10.56,"r,i,g,z",0.9969,0.9969,window_duration,17.50805882644462,57.98,"i:0.0,z:1.0","i:77.4,z:100.0",0.001,78.1,500,86,86
2023-01-08,morning,61,44,44,0.0,854.8,854.8,0.0,960,0,0,0.0,362.9,43,6.410634994133258,1.154100722187808,"g,r,i,z",g,2023-01-09T08:51:00+00:00,2023-01-09T09:07:00+00:00,960,2023-01-09T08:59:00+00:00,-10.53,"r,i,g,z",0.8904,0.8904,window_duration,18.183403751174552,59.989999999999995,g:0.0,g:100.0,0.002,100.0,499,61,61
2023-01-09,evening,85,40,40,0.0,897.0,767.0,130.0,900,1,0,120.0,311.6,38,6.585020380258352,1.1816589373496018,"g,r,i,z","g,z",2023-01-10T00:33:00+00:00,2023-01-10T00:48:00+00:00,900,2023-01-10T00:40:30+00:00,-10.48,"r,i,g,z",0.9967,0.9967,window_duration,16.318422566935585,57.765,z:0.0,z:85.7,0.001,85.7,483,85,85
2023-01-09,morning,50,42,42,0.0,942.8,660.4,282.4,960,1,0,120.0,337.3,40,6.763370664221596,1.2158685978436545,"g,r,i,z","r,z",2023-01-10T08:52:00+00:00,2023-01-10T09:08:00+00:00,960,2023-01-10T09:00:00+00:00,-10.52,"r,i,g,z",0.9821,0.9821,window_duration,18.385269571428765,55.31,"r:0.0,z:1.99","r:82.6,z:100.0",0.004,86.2,516,50,50
2023-01-10,evening,86,45,45,0.0,891.3,891.3,0.0,900,0,0,0.0,371.7,42,6.59306866072385,1.1842008331081202,"g,r,i,z",g,2023-01-11T00:33:00+00:00,2023-01-11T00:48:00+00:00,900,2023-01-11T00:40:30+00:00,-10.5,"r,i,g,z",0.9904,0.9904,window_duration,18.36803967430061,57.55,g:0.0,g:81.1,0.001,81.1,483,86,86
2023-01-10,morning,43,42,42,0.0,948.7,724.2,224.5,960,1,0,120.0,328.2,40,6.935581853457431,1.2896267780666029,"g,r,i,z","i,z",2023-01-11T08:53:00+00:00,2023-01-11T09:09:00+00:00,960,2023-01-11T09:01:00+00:00,-10.5,"r,i,g,z",0.9883,0.9883,window_duration,17.658570739193983,50.81,"i:0.0,z:0.99","i:82.6,z:100.0",0.003,84.6,516,43,43
2023-01-11,evening,86,40,40,0.0,787.9,767.9,20.0,900,0,0,0.0,320.8,37,6.7018725097404355,1.1792963333687336,"g,r,i,z",r,2023-01-12T00:33:00+00:00,2023-01-12T00:48:00+00:00,900,2023-01-12T00:40:30+00:00,-10.53,"r,i,g,z",0.8754,0.8754,window_duration,18.580684113055533,57.93,r:0.0,r:81.2,0.001,81.2,483,86,86
2023-01-11,morning,42,43,42,0.023,959.9,825.3,134.7,960,1,0,120.0,338.8,41,6.648998068588891,1.2969709852930955,"g,r,i,z","g,z",2023-01-12T08:54:00+00:00,2023-01-12T09:10:00+00:00,960,2023-01-12T09:02:00+00:00,-10.49,"r,i,g,z",0.9999,0.9999,window_duration,16.605171175512343,50.38,"g:3.01,z:0.0","g:0.0,z:79.3",0.002,76.7,516,42,42
2023-01-12,evening,84,42,42,0.0,835.7,835.7,0.0,960,0,0,0.0,343.3,39,6.71084333981191,1.194593338259514,"g,r,i,z",i,2023-01-13T00:32:00+00:00,2023-01-13T00:48:00+00:00,960,2023-01-13T00:40:00+00:00,-10.47,"r,i,g,z",0.8705,0.8705,window_duration,17.372380853837374,56.775000000000006,i:0.0,i:95.0,0.001,95.0,500,84,84
2023-01-12,morning,49,39,39,0.0,880.3,562.3,318.0,960,1,0,120.0,318.9,37,6.386843656659406,1.479584114523329,"g,r,i,z","g,z",2023-01-13T08:55:00+00:00,2023-01-13T09:11:00+00:00,960,2023-01-13T09:03:00+00:00,-10.48,"r,i,g,z",0.9169,0.9169,window_duration,18.2938921611295,42.45,"g:0.0,z:1.01","g:68.4,z:75.0",1.001,70.4,499,49,49
2023-01-13,evening,84,42,42,0.0,835.3,835.3,0.0,960,0,0,0.0,332.2,39,6.932751074272246,1.191927242898608,"g,r,i,z",z,2023-01-14T00:32:00+00:00,2023-01-14T00:48:00+00:00,960,2023-01-14T00:40:00+00:00,-10.51,"r,i,g,z",0.8701,0.8701,window_duration,16.07778342227474,56.975,z:0.0,z:83.8,0.001,83.8,500,84,84
2023-01-13,morning,61,47,47,0.0,924.4,824.4,100.0,960,0,0,0.0,402.6,45,6.142763405566709,1.4405267507937467,"g,r,i,z",r,2023-01-14T08:56:00+00:00,2023-01-14T09:12:00+00:00,960,2023-01-14T09:04:00+00:00,-10.48,"r,i,g,z",0.9629,0.9629,window_duration,18.416061790089785,43.9,r:4.0,r:43.3,4.001,43.3,499,61,61
2023-01-14,evening,85,45,45,0.0,889.9,889.9,0.0,900,0,0,0.0,358.3,42,6.8767796489015485,1.2046182564767265,"g,r,i,z",g,2023-01-15T00:32:00+00:00,2023-01-15T00:47:00+00:00,900,2023-01-15T00:39:30+00:00,-10.46,"r,i,g,z",0.9888,0.9888,window_duration,18.230606427071578,56.05,g:0.0,g:93.0,0.001,93.0,483,85,85
